Jobs	X	Y	Fixed-Processing-Time	Degradation-Rate
95	16.93	1.06	0.021	0.0077
96	14.62	2.07	0.036	0.0042
97	13.13	16.72	0.018	0.0049
98	10.55	4.97	0.009	0.007
99	12.46	5.97	0.025	0.0069
100	0.71	0.48	0.001	0.001
101	6.62	13.09	0.027	0.0051
102	13.58	4.89	0.013	0.0065
103	18.02	11.6	0.05	0.0025
104	15.66	2.53	0.047	0.0093
105	11.12	13.12	0.049	0.0041
106	17.48	0.96	0.035	0.0026
107	5.93	11.82	0.045	0.0047
108	9.15	19.98	0.029	0.006
109	3.62	18.96	0.025	0.0063
110	8.8	11.67	0.02	0.001
111	10.99	13.8	0.027	0.004
112	1.4	15.91	0.035	0.0082
113	12.64	16.04	0.047	0.0016
114	14.62	6.52	0.024	0.0039
115	12.88	0.93	0.013	0.0057
116	3.1	5.61	0.004	0.0032
117	6.26	7.58	0.018	0.0092
118	16.53	5.06	0.006	0.0014
119	2.38	2.26	0.009	0.0008
120	11.44	9.53	0.021	0.0049
121	17.58	19.34	0.023	0.0056
122	19.67	14.02	0.048	0.0007
123	2.02	14.38	0.045	0.0006
124	19.18	0.65	0.012	0.0092
125	4.78	19.96	0.042	0.006
126	1.95	14.47	0.019	0.0099
127	3.74	5.14	0.048	0.001
128	2.1	11.02	0.044	0.0057
129	19.75	17.02	0.049	0.0089
130	10.9	19.1	0.035	0.0025
131	14.75	3.85	0.007	0.0096
132	16.94	10.29	0.031	0.0083
133	1.37	1.4	0.006	0.0024
134	2.47	16.82	0.013	0.0088
135	12.55	1.84	0.011	0.0084
136	0.04	9.63	0.025	0.0004
137	2.83	3.11	0.041	0.0006
138	12.61	19.14	0.031	0.0062
139	12.82	12.36	0.009	0.0084
140	6.3	5.34	0.014	0.0038
141	16.26	14.33	0.013	0.0091
142	18.39	17.01	0.021	0.0074
143	16.57	15.75	0.039	0.0087
144	3.32	13.77	0.024	0.0072
145	1.22	16.87	0.05	0.0089
146	9.41	16.33	0.016	0.0051
147	3.78	9	0.016	0.0088
148	13.76	9.17	0.03	0.0068
149	10.53	3.14	0.027	0.0093
150	6.62	9.76	0.042	0.0035
151	8.52	13.61	0.04	0.0065
152	6.16	6.41	0.031	0.0029
153	4.4	0.58	0.039	0.0026
154	15.92	19.58	0.039	0.0024
155	3.08	15.9	0.005	0.0055
156	17.59	8.29	0.015	0.0088
157	8.08	18.61	0.017	0.0089
158	15.92	9.67	0.013	0.0081
159	11.55	18.86	0.031	0.0047
160	13.35	17.39	0.041	0.001
161	19.99	13.51	0.025	0.0012
162	2.46	9.92	0.002	0.0035
163	3.96	17.76	0.012	0.003
164	9.77	14.71	0.01	0.0024
165	16.95	9.29	0.039	0.0069
166	17.78	4.43	0.029	0.0012
167	19.67	1.26	0.025	0.005
168	2.23	9.06	0.027	0.0009
169	14.97	2.37	0.022	0.0023
170	17.94	0.56	0.049	0.0062
171	4.08	13.48	0.049	0.0012
172	6.51	2.67	0.001	0.0044
173	12.3	7.31	0.038	0.0017
174	10.75	8.39	0.016	0.0051
175	11.56	5.61	0.021	0.0018
176	18.09	19.07	0.031	0.0012
177	0.51	5.32	0.02	0.0027
178	11.47	7.87	0.004	0.008
179	6.29	4.33	0.024	0.0099
180	2.8	11.42	0.009	0.0034
181	7.89	18.37	0.045	0.0059
182	7.6	9.32	0.046	0.0001
183	16.93	0.23	0.037	0.0084
184	4.95	11	0.039	0.0013
185	5.79	10.37	0.008	0.0014
186	17.99	11.77	0.028	0.0048
187	18.2	0.12	0.002	0.0085
188	9.4	11.63	0.003	0.0075
189	12.02	3.78	0.042	0.0078
190	8.66	10.88	0.04	0.0046
191	11.67	15.05	0.014	0.0012
192	6.99	1.73	0.042	0.0091
193	9.5	19.24	0.036	0.0026
194	14.57	14.11	0.046	0.0024
195	16.78	15.22	0.044	0.0099
196	7.55	7.93	0.022	0.0038
197	18.67	2.18	0.023	0.0065
198	19.93	5.65	0.02	0.0049
